llave,imdbtitle,imdbyear
30006300,300,2006
3000mil01land,3000 Miles to Graceland,2001
30beats12eats,30 Beats,2012
30dayso07ight,30 Days of Night,2007
30minut11less,30 Minutes or Less,2011
30years01life,30 Years to Life,2001
31/2min15lets,"3½ Minutes, Ten Bullets",2015
3103,3,2010
311631,31,2016
331533,The 33,2015
35rhums08hums,35 rhums,2008
360011360,360,2011
36saint13ints,36 Saints,2013
39pound05love,39 Pounds of Love,2005
3backya10ards,3 Backyards,2010
3coeurs14eurs,3 coeurs,2014
3daysto14kill,3 Days to Kill,2014
3droupu11jian,3D Rou pu tuan: Ji le bao jian,2011
3geezer13ers!,3 Geezers!,2013
3idiots09iots,3 Idiots,2009
3needle05dles,3 Needles,2005
3nights14sert,3 Nights in the Desert,2014
3strike00ikes,3 Strikes,2000
3weeksi16evan,3 Weeks in Yerevan,2016
4:44las11arth,4:44 Last Day on Earth,2011
4:riseo07rfer,4: Rise of the Silver Surfer,2007
4044,4,2004
40daysa02ghts,40 Days and 40 Nights,2002
40yearo05rgin,The 40 Year Old Virgin,2005
421342,42,2013
44inchc09hest,44 Inch Chest,2009
45365095365,45365,2009
45years15ears,45 Years,2015
47ronin13onin,47 Ronin,2013
49up0649up,49 Up,2005
"4luni,307zile","4 luni, 3 saptamâni si 2 zile",2007
50/50110/50,50/50,2011
50first04ates,50 First Dates,2004
50to1140to1,50 to 1,2014
51birch05reet,51 Birch Street,2005
51ststa01tate,The 51st State,2001
52tuesd13days,52 Tuesdays,2013
56up1356up,56 Up,2012
5daysof11fwar,5 Days of War,2011
5flight14tsup,5 Flights Up,2014
5thquar10rter,The 5th Quarter,2010
5thwave16wave,The 5th Wave,2016
5to7145to7,5 to 7,2014
5x2045x2,5x2,2004
6monthr11rule,6 Month Rule,2011
6souls10ouls,6 Souls,2010
6thday00hday,The 6th Day,2000
6years15ears,6 Years,2015
7cajas12ajas,7 cajas,2012
7chines15hers,7 Chinese Brothers,2015
7dias05dias,7 días,2005
7minute14esii,7 Minutes,2014
7thstre02reet,7th Street,2002
8:themo10tion,8: The Mormon Proposition,2010
800bala02alas,800 balas,2002
81/2wom99omen,8 ½ Women,1999
88minut07utes,88 Minutes,2007
8femmes02mmes,8 femmes,2002
8mile02mile,8 Mile,2002
9/11039/11,11-Sep,2002
90minut15aven,90 Minutes in Heaven,2015
95miles04togo,95 Miles to Go,2004
99%:the13film,99%: The Occupy Wall Street Collaborative Film,2013
99homes14omes,99 Homes,2014
99i0999i,99,2009
9dead02guys,9 Dead Gay Guys,2002
9songs04ongs,9 Songs,2004
a-team10team,The A-Team,2010
a.c.o.d13o.d.,A.C.O.D.,2013
aajanac07chle,Aaja Nachle,2007
aanrijd08scou,Aanrijding in Moscou,2008
aatsink13boys,Aatsinki: The Story of Arctic Cowboys,2013
abandon02ndon,Abandon,2002
abandon06oned,The Abandoned,2006
abcafri01rica,ABC Africa,2001
abcd99abcd,ABCD,1999
abcsofd12eath,The ABCs of Death,2012
abcsofd14ath2,ABCs of Death 2,2014
abducti06tory,Abduction: The Megumi Yokota Story,2006
abducti11ioni,Abduction,2011
aberdee00deen,Aberdeen,2000
abomina06able,Abominable,2006
abouna02ouna,Abouna,2002
aboutab02aboy,About a Boy,2002
aboutad00adam,About Adam,2000
aboutal14alex,About Alex,2014
aboutch12erry,About Cherry,2012
aboutfi11ifty,About Fifty,2011
aboutla14ight,About Last Night,2014
aboutsc02midt,About Schmidt,2002
aboutti13imei,About Time,2013
abovean14yond,Above and Beyond,2014
abovean15lowi,Above and Below,2015
abraham12nter,Abraham Lincoln: Vampire Hunter,2012
abrilde01cado,Abril Despedaçado,2001
absence13ncei,Absence,2013
absolut06lson,Absolute Wilson,2006
absolut16ovie,Absolutely Fabulous: The Movie,2016
abusdef13esse,Abus de faiblesse,2013
acaused04rc,À cause d'un garçon,2002
accepte06pted,Accepted,2006
account16tant,The Accountant,2016
acrosst07erse,Across the Universe,2007
actofki12ling,The Act of Killing,2012
actofva12alor,Act of Valor,2012
actress14ress,Actress,2014
actsofw01ship,Acts of Worship,2001
adam&st05teve,Adam & Steve,2005
adami09dami,Adam,2009
adamsae05bler,Adams æbler,2005
adaptat02ion.,Adaptation.,2002
adderal15ries,The Adderall Diaries,2015
addicte14tedi,Addicted,2014
addicti11ated,Addiction Incorporated,2011
adieuau14gage,Adieu au langage,2014
adjustm11reau,The Adjustment Bureau,2011
admissi13sion,Admission,2013
adorati08tion,Adoration,2008
adorati13tion,Adoration,2013
adultbe14ners,Adult Beginners,2014
adultwo13orld,Adult World,2013
advance14tyle,Advanced Style,2014
adventu00nkle,The Adventures of Rocky & Bullwinkle,2000
adventu02nash,The Adventures of Pluto Nash,2002
adventu05l3-d,The Adventures of Sharkboy and Lavagirl 3-D,2005
adventu08ower,Adventures of Power,2008
adventu09land,Adventureland,2009
adventu11ntin,The Adventures of Tintin,2011
adventu13sbox,The Adventurer: The Curse of the Midas Box,2013
aedilha16hkil,Ae Dil Hai Mushkil,2016
aefondk04s...,Ae Fond Kiss...,2004
aeonflu05flux,Æon Flux,2005
aferim!15rim!,Aferim!,2015
affairo01lace,The Affair of the Necklace,2001
afflict13cted,Afflicted,2013
afghans09star,Afghan Star,2009
african11cats,African Cats,2011
after.l09life,After.Life,2009
afterea13arth,After Earth,2013
afterfr02edom,After Freedom,2002
afterin05ence,After Innocence,2005
afterli09ight,The Afterlight,2009
afterma15hvii,Aftermath,2015
afterno13ercq,Afternoon of a Faun: Tanaquil Le Clercq,2013
afterno13ight,Afternoon Delight,2013
aftersc081wd,Afterschool,2008
aftersh12hock,Aftershock,2012
afterth04nset,After the Sunset,2004
afterth09ited,After the Cup: Sons of Sakhnin United,2009
afterth15ball,After the Ball,2015
afterti13ller,After Tiller,2013
afterwo15ords,After Words,2015
against04opes,Against the Ropes,2004
against14esun,Against the Sun,2014
agentco03anks,Agent Cody Banks,2003
agentco04ndon,Agent Cody Banks 2: Destination London,2004
ageofad15line,The Age of Adaline,2015
ageofsh16dows,The Age of Shadows,2016
aggress05ives,The Aggressives,2005
agnesun04uder,Agnes und seine Brüder,2004
agora09gora,Agora,2009
agronom03mist,The Agronomist,2003
ah-ga-s16-ssi,Ah-ga-ssi,2016
aheadof09uber,Ahead of Time: The Extraordinary Journey of Ruth Gruber,2009
ahfeizi90zyun,Ah fei zing zyun,1990
ahivael12ablo,Ahí va el diablo,2012
aileen:03ller,Aileen: Life and Death of a Serial Killer,2003
aimee&j99guar,Aimée & Jaguar,1999
"aimer,b14nter","Aimer, boire et chanter",2014
ain'tin10helm,Ain't in It for My Health: A Film About Levon Helm,2010
ain'tth13ints,Ain't Them Bodies Saints,2013
airguit06tion,Air Guitar Nation,2006
airibre08athe,The Air I Breathe,2007
aiweiwe12orry,Ai Weiwei: Never Sorry,2012
aiweiwe13case,Ai Weiwei: The Fake Case,2013
ajami09jami,Ajami,2009
aka02aka,AKA,2002
akaihas01mizu,Akai hashi no shita no nurui mizu,2001
akeelah06ebee,Akeelah and the Bee,2006
akirai16irai,Akira,2016
alafoli02tout,À la folie... pas du tout,2002
alamar09amar,Alamar,2009
alamo04lamo,The Alamo,2004
alanpar13papa,Alan Partridge: Alpha Papa,2013
albatro11ross,Albatross,2011
albertn11obbs,Albert Nobbs,2011
alceste13ette,Alceste à bicyclette,2013
aleksan07ndra,Aleksandra,2007
alex&em03emma,Alex & Emma,2003
alexand04nder,Alexander,2004
alexand14dday,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014
alexcro12ross,Alex Cross,2012
alexofv14nice,Alex of Venice,2014
alfie04lfie,Alfie,2004
alfrank06poke,Al Franken: God Spoke,2006
algeria14rian,The Algerian,2014
algorit13thms,Algorithms,2013
ali01ali,Ali,2001
aliceet98rtin,Alice et Martin,1998
alicein10land,Alice in Murderland,2010
alicene07neel,Alice Neel,2007
aliceth16lass,Alice Through the Looking Glass,2016
alienab14tion,Alien Abduction,2014
aliensi09ttic,Aliens in the Attic,2009
alienso05deep,Aliens of the Deep,2005
alientr09pass,Alien Trespass,2009
alila03lila,Alila,2003
alivein14side,Alive Inside,2014
all'sfa09love,All's Faire in Love,2009
allabou02mins,All About the Benjamins,2002
allabou09teve,All About Steve,2009
allacce01ive!,All Access: Front Row. Backstage. Live!,2001
allahma08cert,Allah Made Me Funny: Live in Concert,2008
alleand09eren,Alle Anderen,2009
allegia16iant,Allegiant,2016
allegro05groi,Allegro,2005
allelui14luia,Alléluia,2014
allesau04ker!,Alles auf Zucker!,2004
allgood10ings,All Good Things,2010
allied16lied,Allied,2016
allisbr13ight,All Is Bright,2013
allislo13lost,All Is Lost,2013
allorno02hing,All or Nothing,2002
allover01eguy,All Over the Guy,2001
alltheb06lane,All the Boys Love Mandy Lane,2006
allthek06smen,All the King's Men,2006
allthep00rses,All the Pretty Horses,2000
alltheq01smen,All the Queen's Men,2001
allther03irls,All the Real Girls,2003
allther99rage,All the Rage,1999
allthin15ords,All Things Must Pass: The Rise and Fall of Tower Records,2015
allyoun14love,All You Need Is Love,2014
almidan13idan,Al midan,2013
almostc16tmas,Almost Christmas,2016
almostf00mous,Almost Famous,2000
almosth13uman,Almost Human,2013
almosti11love,Almost in Love,2011
aloft14loft,Aloft,2014
aloha15ohai,Aloha,2015
alonein05dark,Alone in the Dark,2005
alonewi06hher,Alone with Her,2006
aloneye13lone,Alone Yet Not Alone,2013
alongca01ider,Along Came a Spider,2001
alongca04olly,Along Came Polly,2004
alpeis11peis,Alpeis,2011
alphaan10mega,Alpha and Omega,2010
alphabe08ller,The Alphabet Killer,2008
alphado06adog,Alpha Dog,2006
alqodsf02khar,Al qods fee yom akhar,2002
already15kong,Already Tomorrow in Hong Kong,2015
altipla09lano,Altiplano,2009
alvinan07unks,Alvin and the Chipmunks,2007
alvinan09quel,Alvin and the Chipmunks: The Squeakquel,2009
alvinan11cked,Alvin and the Chipmunks: Chipwrecked,2011
alvinan15chip,Alvin and the Chipmunks: The Road Chip,2015
alwayss16hine,Always Shine,2016
alyah12lyah,Alyah,2012
amandla02mony,Amandla! A Revolution in Four Part Harmony,2002
amasoeu01eur!,À ma soeur!,2001
amatigi00irls,The Amati Girls,2000
amazing06race,Amazing Grace,2006
amazing08uela,The Amazing Truth About Queen Raquela,2008
amazing12-man,The Amazing Spider-Man,2012
amazing14man2,The Amazing Spider-Man 2,2014
ambassa11ador,The Ambassador,2011
amelia09elia,Amelia,2009
amen.02men.,Amen.,2002
america00ycho,American Psycho,2000
america01arts,America's Sweethearts,2001
america01desi,American Desi,2001
america01laws,American Outlaws,2001
america01pie2,American Pie 2,2001
america02chai,American Chai,2001
america02dobo,American Adobo,2001
america03ding,American Wedding,2003
america03ndor,American Splendor,2003
america04soul,America's Heart & Soul,2004
america06cism,America: Freedom to Fascism,2006
america06core,American Hardcore,2006
america06eamz,American Dreamz,2006
america06lity,American Cannibal: The Road to Reality,2006
america06ngun,American Gun,2005
america07iful,America the Beautiful,2007
america07ster,American Gangster,2007
america08olet,American Violet,2008
america08teen,American Teen,2008
america08wing,American Swing,2008
america09sino,American Casino,2009
america09tory,American: The Bill Hicks Story,2009
america10ican,The American,2010
america11cher,American Teacher,2011
america11imal,American Animal,2011
america12nion,American Reunion,2012
america13meat,American Meat,2013
america13mise,American Promise,2013
america13ovie,American Made Movie,2013
america13stle,American Hustle,2013
america14iper,American Sniper,2014
america14ther,America: Imagine the World Without Her,2014
america15ltra,American Ultra,2015
america16oney,American Honey,2016
america16oral,American Pastoral,2016
america99pimp,American Pimp,1999
americo15cons,Americons,2015
amigo10migo,Amigo,2010
amira&s14&sam,Amira & Sam,2014
amityvi05rror,The Amityville Horror,2005
amlimit07imit,Am Limit,2007
amongth15vers,Among the Believers,2015
amoresp00rros,Amores perros,2000
amour12mour,Amour,2012
amourfo14rfou,Amour fou,2014
amreeka09eeka,Amreeka,2009
amu05amu,Amu,2005
amy'sor01gasm,Amy's Orgasm,2001
amyiii15yiii,Amy,2015
an15an,An,2015
anacond04chid,Anacondas: The Hunt for the Blood Orchid,2004
anagyfu13uzet,A nagy füzet,2013
analyze02that,Analyze That,2002
anameri01sody,An American Rhapsody,2001
anameri05ting,An American Haunting,2005
anameri08arol,An American Carol,2008
anameri08fair,An American Affair,2008
anamorp07oprh,Anamorph,2007
anarchi02book,The Anarchist Cookbook,2002
anatomi00omie,Anatomie,2000
anatomi03mie2,Anatomie 2,2003
anatomi04nfer,Anatomie de l'enfer,2004
anchorm04undy,Anchorman: The Legend of Ron Burgundy,2004
anchorm13nues,Anchorman 2: The Legend Continues,2013
andever10fine,And Everything Is Going Fine,2010
andnow.02n…,And Now... Ladies and Gentlemen...,2002
andregr13nner,Andre Gregory: Before and After Dinner,2013
andsoit14goes,And So It Goes,2014
andwhen07her?,And When Did You Last See Your Father?,2007
andwhil12here,And While We Were Here,2012
aneduca09tion,An Education,2009
anesthe15esia,Anesthesia,2015
aneverl00iece,An Everlasting Piece,2000
ang-ma-10t-da,Ang-ma-reul bo-at-da,2010
angel-a05el-a,Angel-A,2005
angeley01eyes,Angel Eyes,2001
angels'12hare,The Angels' Share,2012
angels&09mons,Angels & Demons,2009
angelsc11rest,Angels Crest,2011
angerma03ment,Anger Management,2003
angpagd05eros,Ang pagdadalaga ni Maximo Oliveros,2005
angrybi16irds,Angry Birds,2016
anhones14liar,An Honest Liar,2014
animal01imal,The Animal,2001
animalf00tory,Animal Factory,2000
animalk10gdom,Animal Kingdom,2010
animals14siii,Animals,2014
animati05show,The Animation Show 2005,2005
animene14nere,Anime nere,2014
anincon06ruth,An Inconvenient Truth,2006
aninvis10sign,An Invisible Sign,2010
anitaho14taho,Anita Ho,2014
anitaii13taii,Anita,2013
annabel14llei,Annabelle,2014
annakar12inai,Anna Karenina,2012
annapol06olis,Annapolis,2006
annavii13avii,Anna,2013
annie14nnie,Annie,2014
anniver01arty,The Anniversary Party,2001
anobisi10esto,Año bisiesto,2010
anomali15lisa,Anomalisa,2015
anonyma08rlin,Anonyma - Eine Frau in Berlin,2008
anonymo11ousi,Anonymous,2011
anonymo13ople,The Anonymous People,2013
another06ovie,Another Gay Movie,2006
another10year,Another Year,2010
another11arth,Another Earth,2011
another11yday,Another Happy Day,2011
anovers12auty,An Oversimplification of Her Beauty,2012
answers11hing,Answers to Nothing,2011
ant-man15-man,Ant-Man,2015
antarct13nice,Antarctica: A Year on Ice,2013
antboy13tboy,Antboy,2013
antbull06ully,The Ant Bully,2006
anthrop15gist,The Anthropologist,2015
anthrop16poid,Anthropoid,2016
antichr09rist,Antichrist,2009
antitru01rust,Antitrust,2001
antwone02sher,Antwone Fisher,2002
anunfin05life,An Unfinished Life,2005
anunrea06eman,An Unreasonable Man,2006
anvil:t08nvil,Anvil: The Story of Anvil,2008
anydayn12nowi,Any Day Now,2012
anythin03else,Anything Else,2003
aparti11arti,Apart,2011
apartme071303,Apartment 1303,2007
apeinej15yeux,À peine j'ouvre les yeux,2015
aperdre12ison,À perdre la raison,2012
apocaly06ypto,Apocalypto,2006
apollo111lo18,Apollo 18,2011
appaloo08oosa,Appaloosa,2008
apparit12tion,The Apparition,2012
apparit16hill,Apparition Hill,2016
approac16nown,Approaching the Unknown,2016
appropr14vior,Appropriate Behavior,2014
appurus04hido,Appurushîdo,2004
apres03vous,Après vous...,2003
apresla02avie,Après la vie,2002
apresma12smai,Après mai,2012
april's03ower,April's Shower,2003
aprimii02uore,Aprimi il cuore,2002
aquamar06rine,Aquamarine,2006
aquariu16rius,Aquarius,2016
aquatee07ters,Aqua Teen Hunger Force Colon Movie Film for Theaters,2007
ararat02arat,Ararat,2002
arbitra12rage,Arbitrage,2012
arbor10rbor,The Arbor,2010
archipe10lago,Archipelago,2010
archite06tect,The Architect,2006
arctict07tale,Arctic Tale,2007
area5115ea51,Area 51,2015
arewedo07yet?,Are We Done Yet?,2007
areweth05yet?,Are We There Yet?,2005
areyouh13here,Are You Here,2013
argo12argo,Argo,2012
aristid05tion,Aristide and the Endless Revolution,2005
aristoc05rats,The Aristocrats,2005
arlenfa09aber,Arlen Faber,2009
armadil11illo,Armadillo,2010
armored09ored,Armored,2009
armorof15ight,The Armor of Light,2015
armstro13glie,The Armstrong Lie,2013
armyofc10rime,L'armée du crime,2009
around08june,Around June,2008
aroundt04bend,Around the Bend,2004
aroundt04days,Around the World in 80 Days,2004
arreteo14inue,Arrête ou je continue,2014
arrival16ival,Arrival,2016
artandc14raft,Art and Craft,2014
artbast16tard,Art Bastard,2016
arthurc11tmas,Arthur Christmas,2011
arthure06moys,Arthur et les Minimoys,2006
arthuri11huri,Arthur,2011
arthurn12wman,Arthur Newman,2012
artific01e:ai,Artificial Intelligence: AI,2001
artisti11isti,The Artist,2011
artoffl11ight,The Art of Flight,2011
artofge11ngby,The Art of Getting By,2011
artofth09teal,The Art of the Steal,2009
artofth13teal,The Art of the Steal,2013
artofwa00fwar,The Art of War,2000
artscho06tial,Art School Confidential,2006
aruitem08temo,Aruitemo aruitemo,2008
arven03rven,Arven,2003
aryanco04uple,The Aryan Couple,2004
asabove14elow,"As Above, So Below",2014
ascoola13siam,As Cool as I Am,2013
asgooda10dead,As Good as Dead,2010
ashby15shby,Ashby,2015
ashwedn02sday,Ash Wednesday,2002
asilayd13ying,As I Lay Dying,2013
asitisi14aven,As It Is in Heaven,2014
askthed06dust,Ask the Dust,2006
asmileu15ieto,"As Mil e Uma Noites: Volume 1, O Inquieto",2015
asmileu15lado,"As Mil e Uma Noites: Volume 2, O Desolado",2015
asmileu15tado,"As Mil e Uma Noites: Volume 3, O Encantado",2015
asphalt00ahov,Asphalt Zahov,2000
assassi02ango,Assassination Tango,2002
assassi04ixon,The Assassination of Richard Nixon,2004
assassi07ford,The Assassination of Jesse James by the Coward Robert Ford,2007
assassi15ssin,Cìkè Niè Yinniáng,2015
assassi16reed,Assassin's Creed,2016
assault05ct13,Assault on Precinct 13,2005
assault13fire,Assaulted: Civil Rights Under Fire,2013
assista13elle,Assistance mortelle,2013
assiste03ving,Assisted Living,2003
astresm02rias,As Três Marias,2002
astrobo09oboy,Astro Boy,2009
astrona06rmer,The Astronaut Farmer,2006
asura16sura,Asura,2016
asylum05ylum,Asylum,2005
atanarj01juat,Atanarjuat,2001
atanypr12rice,At Any Price,2012
atberke13eley,At Berkeley,2013
atl06atl,ATL,2006
atlanti01pire,Atlantis: The Lost Empire,2001
atlassh11arti,Atlas Shrugged: Part I,2011
atlassh12rike,Atlas Shrugged II: The Strike,2012
atlassh14alt?,Atlas Shrugged: Part III,2014
atmen11tmen,Atmen,2011
atmi12atmi,ATM,2012
atmiddl13eton,At Middleton,2013
atoneme07ment,Atonement,2007
atoutde04uite,À tout de suite,2004
atrapal15dera,Atrapa la bandera,2015
attack12tack,The Attack,2012
attackt11lock,Attack the Block,2011
attenbe10berg,Attenberg,2010
audelad05aine,Au delà de la haine,2005
aufdera07eite,Auf der anderen Seite,2007
august:13unty,August: Osage County,2013
august08gust,August,2008
auguste07ning,August Evening,2007
augusti12tine,Augustine,2012
augustr07rush,August Rush,2007
aultima12acau,A Última Vez Que Vi Macau,2012
aurangz13gzeb,Aurangzeb,2013
aurorab05alis,Aurora Borealis,2005
aurorai10orai,Aurora,2010
austenl13land,Austenland,2013
austinp02mber,Austin Powers in Goldmember,2002
austral08alia,Australia,2008
author:16tory,Author: The JT LeRoy Story,2016
autobio10escu,Autobiografia lui Nicolae Ceausescu,2010
autofoc02ocus,Auto Focus,2002
automne04omne,Automne,2004
autopsy16edoe,The Autopsy of Jane Doe,2016
autorei10eiji,Autoreiji,2010
autorei12ondo,Autoreiji: Biyondo,2012
autumni00york,Autumn in New York,2000
autumnl16ghts,Autumn Lights,2016
avantqu07bile,Avant que j'oublie,2007
avatar09atar,Avatar,2009
avazego08k-ha,Avaze gonjeshk-ha,2008
avenger12gers,The Avengers,2012
avenger15tron,Avengers: Age of Ultron,2015
aviator04ator,The Aviator,2004
avp:ali04ator,AVP: Alien vs. Predator,2004
avpr:al07uiem,AVPR: Aliens vs Predator - Requiem,2007
avrilet15uque,Avril et le monde truqué,2015
awake:t14anda,Awake: The Life of Yogananda,2014
awake07wake,Awake,2007
awakein99ence,A Wake in Providence,1999
awakeni11ingi,The Awakening,2011
awayfro06mher,Away from Her,2006
awayweg09wego,Away We Go,2009
awesome06hat!,Awesome; I Fuckin' Shot That!,2006
ayurved01eing,Ayurveda: Art of Being,2001
azumi03zumi,Azumi,2003
baaghi16aghi,Baaghi,2016
babadoo14dook,The Babadook,2014
babeli06beli,Babel,2006
babilet01leto,Babí léto,2001
babyboy01yboy,Baby Boy,2001
babylon08a.d.,Babylon A.D.,2008
babymak12kers,The Babymakers,2012
babymam08mama,Baby Mama,2008
babysit07ters,The Babysitters,2007
bachelo12ette,Bachelorette,2012
bachnaa08eeno,Bachna Ae Haseeno,2008
back-up10plan,The Back-up Plan,2010
backcou14tryi,Backcountry,2014
backgam15mmon,Backgammon,2015
backsea08seat,Backseat,2005
backsta00tage,Backstage,2000
backsta05tage,Backstage,2005
backstr15deof,Backstreet Boys: Show 'Em What You're Made Of,2015
backwar12ards,Backwards,2012
backyar02yard,The Backyard,2002
badasse15ayou,Bad Asses on the Bayou,2015
badboys03ysii,Bad Boys II,2003
badcomp02pany,Bad Company,2002
badgran13ndpa,Bad Grandpa,2013
badhurt15hurt,Bad Hurt,2015
badkids16kids,The Bad Kids,2016
badland07land,Badland,2007
badlieu09eans,The Bad Lieutenant: Port of Call - New Orleans,2009
badmaa$10pany,Badmaa$h Company,2010
badmara99bord,Bad ma ra khahad bord,1999
badmilo13ilo!,Bad Milo!,2013
badmoms16moms,Bad Moms,2016
badnews05ears,Bad News Bears,2005
badsant03anta,Bad Santa,2003
badsant16nta2,Bad Santa 2,2016
badteac11cher,Bad Teacher,2011
badword13ords,Bad Words,2013
baggage13laim,Baggage Claim,2013
baghead08head,Baghead,2008
bagmani14mani,The Bag Man,2014
bahubal15ning,Bahubali: The Beginning,2015
baise-m00-moi,Baise-moi,2000
baishec11shuo,Bai she chuan shuo,2011
bait00bait,Bait,2000
baiyind09iguo,Bai yin di guo,2009
bajirao15tani,Bajirao Mastani,2015
bakemon15noko,Bakemono no ko,2015
bakjwi09kjwi,Bakjwi,2009
baladat10peta,Balada triste de trompeta,2010
ballado00jack,The Ballad of Ramblin' Jack,2000
ballado03rait,The Ballad of Bering Strait,2003
ballado05rose,The Ballad of Jack and Rose,2005
ballast08last,Ballast,2008
ballet414t422,Ballet 422,2014
ballets05sses,Ballets Russes,2005
ballist02ever,Ballistic: Ecks vs. Sever,2002
ballsof07fury,Balls of Fury,2007
balsero02eros,Balseros,2002
bamako06mako,Bamako,2006
bambooz00zled,Bamboozled,2000
bandcal12eath,A Band Called Death,2012
bandede14lles,Bande de filles,2014
bandido04dido,Bandido,2004
bandits01dits,Bandits,2001
bandofr15bers,Band of Robbers,2015
bandsla09slam,Bandslam,2009
bangers02ters,The Banger Sisters,2002
bangkok08rous,Bangkok Dangerous,2008
bangraj00ajan,Bangrajan,2000
bank01bank,The Bank,2001
bankjob08kjob,The Bank Job,2008
banlieu04ue13,Banlieue 13,2004
banlieu09atum,Banlieue 13: Ultimatum,2009
baran01aran,Baran,2001
barbara12arai,Barbara,2012
barbebl09leue,Barbe bleue,2009
barbers02shop,Barbershop,2002
barbers04ness,Barbershop 2: Back in Business,2004
barbers16tcut,Barbershop: The Next Cut,2016
barefoo14ooti,Barefoot,2014
barelyl15thal,Barely Lethal,2015
bargot08room,Bart Got a Room,2008
barney'10sion,Barney's Version,2010
barnyar06yard,Barnyard,2006
barrymu10nday,Barry Munday,2010
bartle01leby,Bartleby,2001
basic03asic,Basic,2003
basicin06nct2,Basic Instinct 2,2006
bastill16eday,Bastille Day,2016
batalla05ielo,Batalla en el cielo,2005
batkidb15gins,Batkid Begins,2015
batman:16joke,Batman: The Killing Joke,2016
batmanb05gins,Batman Begins,2005
batmanv16tice,Batman v Superman: Dawn of Justice,2016
battlef00arth,Battlefield Earth,2000
battlef07itha,Battle for Haditha,2007
battlef11klyn,Battle for Brooklyn,2011
battlef12rica,Battlefield America,2012
battlei07ttle,Battle in Seattle,2007
battlel11eles,Battle Los Angeles,2011
battleo03ghts,The Battle of Shaker Heights,2003
battleo13year,Battle of the Year,2013
battles12ship,Battleship,2012
baturn13orse,Bad Turn Worse,2013
baxter05xter,The Baxter,2005
bayii12ayii,The Bay,2012
beachi00achi,The Beach,2000
bearcit10city,BearCity,2010
bearsi14arsi,Bears,2014
beastly11stly,Beastly,2011
beastso12wild,Beasts of the Southern Wild,2012
beastso15tion,Beasts of No Nation,2015
beathot12otel,The Beat Hotel,2012
beatles16ears,The Beatles: Eight Days a Week - The Touring Years,2016
"beats,r11uest","Beats, Rhymes & Life: The Travels of a Tribe Called Quest",2011
beautif00iful,Beautiful,2000
beautif00ures,Beautiful Creatures,2000
beautif01mind,A Beautiful Mind,2001
beautif04ntry,The Beautiful Country,2004
